s,0000
c,00010
k,0001100
0,000110100
P,00011010100
;,00011010101
q,00011010110
8,000110101110
?,000110101111
',000110110
M,0001101110
E,00011011110
9,00011011111
y,000111
e,001
i,0100
r,0101
n,0110
d,01110
C,011110000
j,0111100010
J,011110001100
Y,0111100011010
6,0111100011011
7,0111100011100
Z,01111000111010
K,01111000111011
3,011110001111
I,01111001
W,011110100
O,0111101010
x,0111101011
A,01111011
w,011111
a,1000
p,100100
f,100101
l,10011
t,1010
o,1011
",",1100000
F,11000010000
:,11000010001
S,1100001001
1,11000010100
V,110000101010
5,110000101011
B,1100001011
T,110000110
-,110000111
g,110001
h,11001
v,1101000
b,1101001
.,1101010
R,11010110000
D,11010110001
L,11010110010
2,11010110011
z,11010110100
N,11010110101
U,110101101100
4,1101011011010
$,1101011011011
H,110101101110
G,110101101111
"
",11010111
m,110110
u,110111
 ,111
